Country/Region,Confirmed,Deaths,Recovered,Active,New cases,New deaths,New recovered,Deaths / 100 Cases,Recovered / 100 Cases,Deaths / 100 Recovered,Confirmed last week,1 week change,1 week % increase,WHO Region
Afghanistan,20342,357,1875,18110,791,30,45,1.75,9.22,19.04,15205,5137,33.78,emro
Albania,1246,34,938,274,14,0,13,2.73,75.28,3.62,1137,109,9.59,euro
Algeria,10154,707,6717,2730,104,9,86,6.96,66.15,10.53,9394,760,8.09,afro
Andorra,852,51,744,57,0,0,3,5.99,87.32,6.85,764,88,11.52,euro
Angola,91,4,24,63,3,0,0,4.4,26.37,16.67,86,5,5.81,afro
Antigua and Barbuda,26,3,20,3,0,0,0,11.54,76.92,15.0,26,0,0.0,paho
Argentina,22794,664,6909,15221,774,16,729,2.91,30.31,9.61,16851,5943,35.27,paho
Armenia,13130,200,4014,8916,766,10,294,1.52,30.57,4.98,9282,3848,41.46,euro
Australia,7265,102,6706,457,6,0,3,1.4,92.31,1.52,7202,63,0.87,wpro
Austria,16902,672,15793,437,4,0,4,3.98,93.44,4.26,16731,171,1.02,euro
Azerbaijan,7553,88,4149,3316,314,4,125,1.17,54.93,2.12,5494,2059,37.48,euro
Bahamas,103,11,62,30,0,0,0,10.68,60.19,17.74,102,1,0.98,paho
Bahrain,14763,26,9468,5269,380,2,412,0.18,64.13,0.27,11398,3365,29.52,emro
Bangladesh,65769,888,13903,50978,2743,42,578,1.35,21.14,6.39,47153,18616,39.48,searo
Barbados,92,7,81,4,0,0,0,7.61,88.04,8.64,92,0,0.0,paho
Belarus,48630,269,23647,24714,879,6,632,0.55,48.63,1.14,42556,6074,14.27,euro
Belgium,59226,9595,16291,33340,154,15,101,16.2,27.51,58.9,58381,845,1.45,euro
Belize,19,2,16,1,0,0,0,10.53,84.21,12.5,18,1,5.56,paho
Benin,261,3,151,107,0,0,0,1.15,57.85,1.99,232,29,12.5,afro
Bhutan,59,0,11,48,11,0,0,0.0,18.64,0.0,43,16,37.21,searo
Bolivia,13643,465,2086,11092,285,11,184,3.41,15.29,22.29,9982,3661,36.68,paho
Bosnia and Herzegovina,2606,159,1968,479,0,0,0,6.1,75.52,8.08,2510,96,3.82,euro
Botswana,40,1,23,16,0,0,0,2.5,57.5,4.35,35,5,14.29,afro
Brazil,691758,36455,283952,371351,18912,525,6803,5.27,41.05,12.84,514849,176909,34.36,paho
Brunei,141,2,138,1,0,0,0,1.42,97.87,1.45,141,0,0.0,wpro
Bulgaria,2727,160,1548,1019,16,0,3,5.87,56.77,10.34,2513,214,8.52,euro
Burkina Faso,889,53,765,71,1,0,0,5.96,86.05,6.93,847,42,4.96,afro
Burma,242,6,156,80,2,0,0,2.48,64.46,3.85,224,18,8.04,searo
Burundi,83,1,45,37,0,0,0,1.2,54.22,2.22,63,20,31.75,afro
Cabo Verde,554,5,240,309,12,0,0,0.9,43.32,2.08,435,119,27.36,afro
Cambodia,126,0,123,3,1,0,0,0.0,97.62,0.0,125,1,0.8,wpro
Cameroon,7908,212,0,7696,309,0,0,2.68,0.0,inf,5904,2004,33.94,afro
Canada,97165,7876,0,89289,703,27,0,8.11,0.0,inf,92465,4700,5.08,paho
Central African Republic,1634,5,38,1591,64,0,1,0.31,2.33,13.16,1011,623,61.62,afro
Chad,837,69,672,96,1,0,0,8.24,80.29,10.27,778,59,7.58,afro
Chile,134150,1637,108150,24363,6405,96,4333,1.22,80.62,1.51,99688,34462,34.57,paho
China,84191,4638,76399,3154,5,0,10,5.51,90.74,6.07,84146,45,0.05,wpro
Colombia,38149,1265,14414,22470,1390,61,744,3.32,37.78,8.78,27219,10930,40.16,paho
Comoros,141,2,67,72,0,0,0,1.42,47.52,2.99,106,35,33.02,afro
Congo (Brazzaville),683,22,210,451,0,0,0,3.22,30.75,10.48,611,72,11.78,afro
Congo (Kinshasa),4016,85,537,3394,138,3,0,2.12,13.37,15.83,3070,946,30.81,afro
Costa Rica,1318,10,704,604,55,0,3,0.76,53.41,1.42,1056,262,24.81,paho
Cote d'Ivoire,3739,36,1818,1885,182,0,68,0.96,48.62,1.98,2833,906,31.98,afro
Croatia,2247,104,2126,17,0,0,5,4.63,94.62,4.89,2246,1,0.04,euro
Cuba,2191,83,1862,246,18,0,7,3.79,84.98,4.46,2045,146,7.14,paho
Cyprus,964,18,807,139,4,0,0,1.87,83.71,2.23,944,20,2.12,euro
Czechia,9628,327,0,9301,61,0,0,3.4,0.0,inf,9268,360,3.88,euro
Denmark,12135,589,10942,604,24,2,34,4.85,90.17,5.38,11856,279,2.35,euro
Djibouti,4207,28,1877,2302,38,2,62,0.67,44.62,1.49,3354,853,25.43,emro
Dominica,18,0,16,2,0,0,0,0.0,88.89,0.0,16,2,12.5,paho
Dominican Republic,19600,538,12007,7055,405,2,88,2.74,61.26,4.48,17285,2315,13.39,paho
Ecuador,43120,3621,21020,18479,392,13,0,8.4,48.75,17.23,39098,4022,10.29,paho
Egypt,34079,1237,8961,23881,1467,39,423,3.63,26.29,13.8,24985,9094,36.4,emro
El Salvador,3015,53,1305,1657,81,0,24,1.76,43.28,4.06,2517,498,19.79,paho
Equatorial Guinea,1306,12,200,1094,0,0,0,0.92,15.31,6.0,1306,0,0.0,afro
Eritrea,39,0,39,0,0,0,0,0.0,100.0,0.0,39,0,0.0,afro
Estonia,1939,69,1681,189,8,0,6,3.56,86.69,4.1,1869,70,3.75,euro
Eswatini,333,3,225,105,11,0,1,0.9,67.57,1.33,285,48,16.84,afro
Ethiopia,2020,27,344,1649,86,7,63,1.34,17.03,7.85,1172,848,72.35,afro
Fiji,18,0,18,0,0,0,0,0.0,100.0,0.0,18,0,0.0,wpro
Finland,6981,323,5800,858,17,1,0,4.63,83.08,5.57,6859,122,1.78,euro
France,191102,29158,70961,90983,343,13,37,15.26,37.13,41.09,189009,2093,1.11,euro
Gabon,3101,21,833,2247,0,0,0,0.68,26.86,2.52,2655,446,16.8,afro
Gambia,26,1,21,4,0,0,0,3.85,80.77,4.76,25,1,4.0,afro
Georgia,809,13,674,122,1,0,11,1.61,83.31,1.93,783,26,3.32,euro
Germany,185750,8685,169224,7841,300,12,266,4.68,91.1,5.13,183410,2340,1.28,euro
Ghana,9638,44,3636,5958,176,0,89,0.46,37.73,1.21,8070,1568,19.43,afro
