Country/Region,Continent,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,WHO Region
USA,North America,330885824,2026597,104,113061,6,773505,25,1140031,16907,6125,342,21727338,65664,Americas
Brazil,South America,212467494,710887,,37312,,325602,,347973,8318,3346,176,999836,4706,Americas
Russia,Europe,145930871,476658,,5971,,230688,,239999,2300,3266,41,13016023,89193,Europe
Spain,Europe,46753739,288797,,27136,,,,,617,6177,580,4465338,95508,Europe
UK,Europe,67864660,287399,,40597,,,,,516,4235,598,5731576,84456,Europe
India,Asia,1379159619,267046,1118,7473,,129215,120,130358,8944,194,5,4916116,3565,South-EastAsia
Italy,Europe,60466843,235278,,33964,,166584,,34730,283,3891,562,4236535,70064,Europe
Peru,South America,32942259,199696,,5571,,89556,,104569,1062,6062,169,1203985,36548,Americas
Germany,Europe,83768186,186233,28,8792,9,170200,600,7241,540,2223,105,4348880,51916,Europe
Iran,Asia,83924324,173832,,8351,,136360,,29121,2619,2071,100,1107254,13193,EasternMediterranean
Turkey,Asia,84282117,171121,,4711,,141380,,25030,625,2030,56,2377954,28214,Europe
France,Europe,65265090,154188,,29209,,71062,,53917,1024,2362,448,1384633,21216,Europe
Chile,South America,19106092,138846,,2264,,95631,,40951,1558,7267,118,728815,38146,Americas
Mexico,North America,128847928,120102,2999,14053,354,87633,3214,18416,378,932,109,344375,2673,Americas
Pakistan,Asia,220603292,108317,4646,2172,105,35018,663,71127,111,491,10,730453,3311,EasternMediterranean
Saudi Arabia,Asia,34778459,105283,,746,,74524,,30013,1632,3027,21,976815,28087,EasternMediterranean
Canada,North America,37721735,96244,,7835,,54833,,33576,1828,2551,208,1930141,51168,Americas
Qatar,Asia,2807805,70158,,57,,45935,,24166,241,24987,20,259646,92473,EasternMediterranean
Bangladesh,Asia,164587111,68504,,930,,14560,,53014,1,416,6,410841,2496,South-EastAsia
Belgium,Europe,11586627,59348,,9606,,16315,,33427,116,5122,829,949675,81963,Europe
South Africa,Africa,59261034,50879,,1080,,26099,,23700,208,859,18,943059,15914,Africa
Belarus,Europe,9449500,49453,,276,,23880,,25297,92,5233,29,632993,66987,Europe
Netherlands,Europe,17132661,47739,,6016,,,,,92,2786,351,414550,24196,Europe
Sweden,Europe,10095462,45133,,4694,,,,,298,4471,465,275500,27289,Europe
Ecuador,South America,17625612,43378,,3642,,21020,,18716,228,2461,207,127576,7238,Americas
Colombia,South America,50848887,40719,,1308,,16427,,22984,335,801,26,421725,8294,Americas
UAE,Asia,9882820,39376,,281,,22275,,16820,1,3984,28,2500000,252964,EasternMediterranean
Singapore,Asia,5847525,38296,,25,,25368,,12903,4,6549,4,408495,69858,WesternPacific
Egypt,Africa,102204915,35444,,1271,,9375,,24798,41,347,12,135000,1321,EasternMediterranean
Portugal,Europe,10198365,34885,,1485,,21156,,12244,55,3421,146,873998,85700,Europe
Kuwait,Asia,4266472,32510,,269,,21242,,10999,166,7620,63,318284,74601,EasternMediterranean
Indonesia,Asia,273342397,32033,,1883,,10904,,19246,,117,7,412980,1511,South-EastAsia
Switzerland,Europe,8650765,30972,,1923,,28700,,349,29,3580,222,425154,49146,Europe
Ukraine,Europe,43747990,27856,394,810,13,12412,217,14634,304,637,19,437444,9999,Europe
Poland,Europe,37848958,27160,,1166,,12998,,12996,160,718,31,1071140,28300,Europe
Ireland,Europe,4934313,25207,,1683,,22698,,826,34,5109,341,348416,70611,Europe
Argentina,South America,45170095,23620,,693,,7305,,15622,274,523,15,198520,4395,Americas
Philippines,Asia,109487582,22474,,1011,,4637,,16826,82,205,9,441487,4032,WesternPacific
Afghanistan,Asia,38867774,21459,542,384,15,2651,480,18424,19,552,10,49530,1274,EasternMediterranean
Romania,Europe,19244598,20604,,1339,,14826,,4439,146,1071,70,506115,26299,Europe
Dominican Republic,North America,10841126,20126,,539,,12158,,7429,110,1856,50,94511,8718,Americas
Israel,Asia,9197590,18089,57,298,,15137,35,2654,29,1967,32,678009,73716,Europe
Oman,Asia,5097444,17486,,81,,3793,,13612,75,3430,16,111376,21849,EasternMediterranean
Japan,Asia,126497998,17174,,916,,15148,,1110,99,136,7,316848,2505,WesternPacific
Austria,Europe,9003309,16968,,672,,15839,,457,17,1885,75,494761,54953,Europe
Panama,North America,4310325,16854,,398,,10401,,6055,87,3910,92,72697,16866,Americas
Bahrain,Asia,1697080,15417,,27,,10326,,5064,12,9084,16,374362,220592,EasternMediterranean
Bolivia,South America,11662786,13949,306,475,10,2159,73,11315,3,1196,41,38092,3266,Americas
Iraq,Asia,40160173,13481,,370,,5572,,7539,69,336,9,311980,7768,EasternMediterranean
Armenia,Asia,2962921,13325,,211,,4099,,9015,10,4497,71,70000,23625,Europe
