Date,Confirmed,Deaths,Recovered,Active,New cases,New deaths,New recovered,Deaths / 100 Cases,Recovered / 100 Cases,Deaths / 100 Recovered,No. of countries
2020-01-22,555,17,28,510,0,0,0,3.06,5.05,60.71,6
2020-01-23,654,18,30,606,99,1,2,2.75,4.59,60.0,8
2020-01-24,941,26,35,880,287,8,5,2.76,3.72,74.29,9
2020-01-25,1434,42,38,1354,493,16,3,2.93,2.65,110.53,11
2020-01-26,2118,56,51,2011,684,14,13,2.64,2.41,109.8,13
2020-01-27,2927,82,58,2787,809,26,7,2.8,1.98,141.38,16
2020-01-28,5578,131,103,5344,2651,49,45,2.35,1.85,127.18,16
2020-01-29,6166,133,120,5913,588,2,17,2.16,1.95,110.83,18
2020-01-30,8234,171,136,7927,2068,38,16,2.08,1.65,125.74,20
2020-01-31,9927,213,209,9505,1693,42,73,2.15,2.11,101.91,24
2020-02-01,12038,259,267,11512,2111,46,58,2.15,2.22,97.0,25
2020-02-02,16787,362,447,15978,4749,103,180,2.16,2.66,80.98,25
2020-02-03,19881,426,590,18865,3094,64,143,2.14,2.97,72.2,25
2020-02-04,23892,492,804,22596,4011,66,214,2.06,3.37,61.19,26
2020-02-05,27635,564,1050,26021,3743,72,246,2.04,3.8,53.71,26
2020-02-06,30794,634,1391,28769,3159,70,341,2.06,4.52,45.58,26
2020-02-07,34330,719,1871,31740,3536,85,480,2.09,5.45,38.43,26
2020-02-08,37059,806,2429,33824,2729,87,558,2.17,6.55,33.18,26
2020-02-09,40086,906,3015,36165,3027,100,586,2.26,7.52,30.05,26
2020-02-10,42627,1013,3658,37956,2541,107,643,2.38,8.58,27.69,26
2020-02-11,44667,1113,4365,39189,2040,100,707,2.49,9.77,25.5,26
2020-02-12,46554,1118,4789,40647,1887,5,424,2.4,10.29,23.35,26
2020-02-13,60193,1371,5876,52946,13639,253,1087,2.28,9.76,23.33,26
2020-02-14,66667,1523,7527,57617,6474,152,1651,2.28,11.29,20.23,27
2020-02-15,68745,1666,8769,58310,2078,143,1242,2.42,12.76,19.0,27
2020-02-16,70869,1770,10163,58936,2124,104,1394,2.5,14.34,17.42,27
2020-02-17,72804,1868,11780,59156,1935,98,1617,2.57,16.18,15.86,27
2020-02-18,74594,2007,13484,59103,1790,139,1704,2.69,18.08,14.88,27
2020-02-19,75018,2122,15180,57716,424,115,1696,2.83,20.24,13.98,28
2020-02-20,75563,2245,17124,56194,545,123,1944,2.97,22.66,13.11,28
2020-02-21,76185,2249,17668,56268,622,4,544,2.95,23.19,12.73,30
2020-02-22,77938,2456,21514,53968,1753,207,3846,3.15,27.6,11.42,30
2020-02-23,78267,2466,21937,53864,329,10,423,3.15,28.03,11.24,30
2020-02-24,78870,2626,23669,52575,603,160,1732,3.33,30.01,11.09,35
2020-02-25,79715,2705,26260,50750,845,79,2591,3.39,32.94,10.3,39
2020-02-26,80683,2766,28673,49244,968,61,2413,3.43,35.54,9.65,46
2020-02-27,82041,2810,31497,47734,1358,44,2824,3.43,38.39,8.92,50
2020-02-28,83407,2866,34865,45676,1366,56,3368,3.44,41.8,8.22,56
2020-02-29,85306,2935,37851,44520,1899,69,2986,3.44,44.37,7.75,60
2020-03-01,87664,2990,40707,43967,2358,55,2856,3.41,46.44,7.35,65
2020-03-02,89601,3079,43565,42957,1937,89,2858,3.44,48.62,7.07,72
2020-03-03,92134,3154,46152,42828,2533,75,2587,3.42,50.09,6.83,76
2020-03-04,94414,3248,49080,42086,2280,94,2928,3.44,51.98,6.62,80
2020-03-05,97182,3341,51690,42151,2768,93,2610,3.44,53.19,6.46,84
2020-03-06,101100,3453,53703,43944,3918,112,2013,3.42,53.12,6.43,93
2020-03-07,105142,3552,56180,45410,4042,99,2477,3.38,53.43,6.32,94
2020-03-08,109116,3795,58503,46818,3974,243,2323,3.48,53.62,6.49,99
2020-03-09,112889,3981,60283,48625,3773,186,1780,3.53,53.4,6.6,102
2020-03-10,117917,4257,62185,51475,5028,276,1902,3.61,52.74,6.85,105
2020-03-11,125173,4607,64494,56072,7256,350,2309,3.68,51.52,7.14,111
2020-03-12,130301,4905,65809,59587,5128,298,1315,3.76,50.51,7.45,113
2020-03-13,144517,5402,67728,71387,14216,497,1919,3.74,46.87,7.98,120
2020-03-14,155412,5825,70095,79492,10895,423,2367,3.75,45.1,8.31,133
2020-03-15,166799,6466,73499,86834,11387,641,3404,3.88,44.06,8.8,137
2020-03-16,180945,7144,75546,98255,14146,678,2047,3.95,41.75,9.46,143
2020-03-17,196436,7950,78297,110189,15491,806,2751,4.05,39.86,10.15,146
2020-03-18,214152,8817,80765,124570,17716,867,2468,4.12,37.71,10.92,150
2020-03-19,241911,9940,82412,149559,27759,1123,1647,4.11,34.07,12.06,154
2020-03-20,271542,11416,84853,175273,29631,1476,2441,4.2,31.25,13.45,161
2020-03-21,303858,13117,89121,201620,32316,1701,4268,4.32,29.33,14.72,163
2020-03-22,336297,14817,95324,226156,32439,1700,6203,4.41,28.35,15.54,168
2020-03-23,377576,16750,95776,265050,41279,1933,452,4.44,25.37,17.49,169
2020-03-24,417570,19006,105317,293247,40009,2256,9541,4.55,25.22,18.05,171
2020-03-25,467092,21778,110766,334548,49522,2772,5449,4.66,23.71,19.66,174
2020-03-26,528997,24777,119116,385104,61905,2999,8350,4.68,22.52,20.8,175
2020-03-27,593039,28281,127805,436953,64042,3504,8689,4.77,21.55,22.13,176
2020-03-28,660447,31800,136094,492553,67408,3519,8289,4.81,20.61,23.37,176
2020-03-29,719564,35312,145505,538747,59117,3512,9411,4.91,20.22,24.27,176
2020-03-30,782089,39432,160971,581686,62525,4120,15466,5.04,20.58,24.5,177
2020-03-31,856881,44227,173290,639364,74792,4795,12319,5.16,20.22,25.52,179
2020-04-01,932276,49671,188614,693991,75395,5444,15324,5.33,20.23,26.33,179
2020-04-02,1013127,55820,205250,752057,80851,6149,16636,5.51,20.26,27.2,180
2020-04-03,1095588,61812,220236,813540,82461,5992,14986,5.64,20.1,28.07,180
2020-04-04,1175700,67982,240155,867563,80112,6170,19919,5.78,20.43,28.31,180
2020-04-05,1249007,73063,253546,922398,73307,5081,13391,5.85,20.3,28.82,182
2020-04-06,1320700,78753,269781,972166,71693,5690,16235,5.96,20.43,29.19,183
2020-04-07,1395702,86648,292670,1016384,75002,7895,22889,6.21,20.97,29.61,183
2020-04-08,1479496,93340,320864,1065292,83794,6692,28194,6.31,21.69,29.09,183
2020-04-09,1565366,100901,345070,1119395,85870,7561,24206,6.45,22.04,29.24,183
2020-04-10,1657525,108123,366218,1183184,92159,7222,21148,6.52,22.09,29.52,184
2020-04-11,1735676,114156,391430,1230090,78151,6033,25212,6.58,22.55,29.16,184
2020-04-12,1834408,119839,410436,1304133,98753,5683,19006,6.53,22.37,29.2,184
2020-04-13,1904428,125547,436696,1342185,70020,5708,26260,6.59,22.93,28.75,184
2020-04-14,1974829,132424,461352,1381053,70401,6877,24656,6.71,23.36,28.7,184
2020-04-15,2055011,140670,496902,1417439,80182,8246,35550,6.85,24.18,28.31,184
2020-04-16,2151444,147948,526914,1476582,96433,7278,30012,6.88,24.49,28.08,184
2020-04-17,2239253,156805,552008,1530440,87809,8857,25094,7.0,24.65,28.41,184
2020-04-18,2316899,163220,575474,1578205,77647,6415,23466,7.04,24.84,28.36,184
2020-04-19,2400048,167756,605966,1626326,83149,4536,30492,6.99,25.25,27.68,184
2020-04-20,2471370,173108,627001,1671261,71322,5352,21035,7.0,25.37,27.61,184
2020-04-21,2548307,180220,660981,1707106,76937,7112,33980,7.07,25.94,27.27,184
2020-04-22,2623869,186896,689542,1747431,77750,6676,28561,7.12,26.28,27.1,184
2020-04-23,2707664,193649,717726,1796289,83795,6753,28184,7.15,26.51,26.98,184
2020-04-24,2794992,199981,767215,1827796,97362,6332,49489,7.15,27.45,26.07,184
2020-04-25,2880401,206171,794048,1880182,85409,6190,26833,7.16,27.57,25.96,184
2020-04-26,2954294,209884,821519,1922891,73894,3713,27471,7.1,27.81,25.55,184
2020-04-27,3022983,214428,847478,1961077,68689,4544,25959,7.09,28.03,25.3,184
2020-04-28,3096490,220785,879548,1996157,74029,6357,32070,7.13,28.4,25.1,184
2020-04-29,3171548,227649,919727,2024172,77570,6864,40179,7.18,29.0,24.75,184
2020-04-30,3256171,233344,983872,2038955,84623,5695,64145,7.17,30.22,23.72,186
2020-05-01,3344817,238603,1020966,2085248,88646,5259,37094,7.13,30.52,23.37,186
2020-05-02,3426843,243797,1060524,2122522,82193,5194,39558,7.11,30.95,22.99,186
2020-05-03,3505988,247454,1091333,2167201,79145,3657,30809,7.06,31.13,22.67,186
2020-05-04,3582314,251521,1124353,2206440,76327,4067,33020,7.02,31.39,22.37,186
2020-05-05,3661950,257223,1159246,2245481,79636,5702,34893,7.02,31.66,22.19,186
2020-05-06,3755328,263839,1204365,2287124,93378,6616,45119,7.03,32.07,21.91,186
2020-05-07,3844977,269551,1241523,2333903,91232,5712,37158,7.01,32.29,21.71,186
2020-05-08,3937323,274882,1277804,2384637,93826,5331,36281,6.98,32.45,21.51,186
2020-05-09,4023268,279295,1330000,2413973,85945,4413,52196,6.94,33.06,21.0,186
2020-05-10,4100958,282693,1362229,2456036,77699,3398,32229,6.89,33.22,20.75,186
2020-05-11,4176761,286314,1408244,2482203,75860,3621,46015,6.85,33.72,20.33,186
2020-05-12,4261006,291926,1444214,2524866,84265,5612,35970,6.85,33.89,20.21,186
